~id,~label,address:String,assetType:String,boatType:String,brand:String,carrier:String,companyName:String,companyType:String,country:String,createdDate:String,email:String,entityTypes:String,equipmentType:String,hullId:String,imei:String,jobCategory:String,jobName:String,lengthFt:Double,make:String,model:String,name:String,partId:String,partName:String,payerType:String,phone:String,phoneNumber:String,retailCost:Double,roNumber:String,rvClass:String,serialNumber:String,squareFeet:Int,status:String,statusDate:String,vin:String,website:String,year:Int,yearBuilt:Int,projectName:String,DepartmentNumber:String,DataClassification:String,Team:String,OwnerGroup:String,Recovery:String,Tier:String
entity_co_1,Entity,"4521 Aurora Ave N, Seattle, WA 98103",,,,,Elite Collision Center,CollisionShop,US,,info@elitecollision.com,Company,,,,,,,,,,,,,206-555-0101,,,,,,,,,,https://www.elitecollision.com,,,,,,,,,
entity_co_2,Entity,"1200 NE 45th St, Seattle, WA 98105",,,,,Metro Auto Body,CollisionShop,US,,service@metroautobody.com,Company,,,,,,,,,,,,,206-555-0102,,,,,,,,,,https://www.metroautobody.com,,,,,,,,,
entity_co_3,Entity,"8900 Pacific Hwy S, Tacoma, WA 98444",,,,,Evergreen Auto Rebuild,CollisionShop,US,,shop@evergreenrebuild.com,Company,,,,,,,,,,,,,253-555-0201,,,,,,,,,,https://www.evergreenrebuild.com,,,,,,,,,
entity_co_4,Entity,"3101 Rainier Ave S, Seattle, WA 98144",,,,,Rainier Collision Group,CollisionShop,US,,repairs@rainiercollision.com,Company,,,,,,,,,,,,,206-555-0104,,,,,,,,,,https://www.rainiercollision.com,,,,,,,,,
entity_co_5,Entity,"720 SE Everett Mall Way, Everett, WA 98208",,,,,Cascade Auto Works,CollisionShop,US,,hello@cascadeautoworks.com,Company,,,,,,,,,,,,,425-555-0301,,,,,,,,,,,,,,,,,,,
entity_co_6,Entity,"15200 Aurora Ave N, Shoreline, WA 98133",,,,,Soundview Collision,CollisionShop,US,,front.desk@soundviewcollision.com,Company,,,,,,,,,,,,,206-555-0106,,,,,,,,,,https://www.soundviewcollision.com,,,,,,,,,
entity_co_7,Entity,"600 Occidental Ave S, Seattle, WA 98134",,,,,Apex Auto Repair,CollisionShop,US,,service@apexautorepair.com,Company,,,,,,,,,,,,,206-555-0107,,,,,,,,,,https://www.apexautorepair.com,,,,,,,,,
entity_co_8,Entity,"2201 W Commodore Way, Seattle, WA 98199",,,,,Harbor Auto Body,CollisionShop,US,,info@harborautobody.com,Company,,,,,,,,,,,,,206-555-0108,,,,,,,,,,,,,,,,,,,
entity_co_9,Entity,"9450 Firdale Ave, Edmonds, WA 98020",,,,,Northwest Auto Restorations,CollisionShop,US,,restore@nwautorest.com,Company,,,,,,,,,,,,,425-555-0401,,,,,,,,,,https://www.nwautorest.com,,,,,,,,,
entity_co_10,Entity,"1455 NW Leary Way, Seattle, WA 98107",,,,,Pacific Rim Collision,CollisionShop,US,,shop@pacificrimcollision.com,Company,,,,,,,,,,,,,206-555-0110,,,,,,,,,,https://www.pacificrimcollision.com,,,,,,,,,
